what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1335867703629
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1335867703714
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1335867703714
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1335867703714
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1335867703755
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1335867704186
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1335867704225
started,bundle,com.google.gdt.eclipse.maven,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.maven",1335867704593
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1335867705093
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1335867705180
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1335867705302
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1335867705824
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.2.v201203300216-rel-r36,"com.google.gdt.eclipse.appengine.rpc",1335867706974
error,log,,,"Internal Error",1335867707325
started,bundle,org.eclipse.wst.html.core,1.1.406.v201109271810,"org.eclipse.wst.html.core",1335867707622
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335867708380
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335867709410
error,log,,,"Failed to finish PrecompilerBuilder#startupOnInitialize()",1335867709432
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335867709435
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1335867709647
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1335867709659
started,bundle,org.eclipse.wst.css.core,1.1.403.v201103021532,"org.eclipse.wst.css.core",1335867710337
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335867711662
error,log,,,"Cannot get version of GWT SDK ""\\CurioCity-Android\\lib"", ensure it is configured properly",1335867711771
error,log,,,"Cannot get version of GWT SDK ""\\CurioCity-Android\\lib"", ensure it is configured properly",1335867713105
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1335867713372
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335867716703
error,log,,,"Failed to load properties file for project 'CurioCity-Android'",1335867716706
started,bundle,org.eclipse.jst.jee,1.0.303.v201103311600,"org.eclipse.jst.jee",1335867716781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867850462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1335867850488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867853785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867853914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335867853926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868014666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868019857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868038783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1335868038795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868039775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868055592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868058855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335868085273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1335868085293
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335868094443
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1335868094487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1335868094487
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1335868098375
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1335868098375
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1335868100981
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1335868100995
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1335868101060
